stimulus,category,total_dwell_ms,total_gaze_count,n_recordings
1 (1.2.2.2),Tall trees,392991.4,22310,48
1 (1.2.2.2),Aquatic plants,139074.0,7506,48
1 (1.2.2.2),Shrubs,87608.6,4852,48
1 (1.2.2.2),Herbaceous plants,83814.2,4375,48
1 (1.2.2.2),Roads,67558.7,3618,47
1 (1.2.2.2),Landscape stones,59224.8,3292,48
1 (1.2.2.2),Mountains,29146.2,1663,46
1 (1.2.2.2),Other elements,20746.0,1177,45
1 (1.2.2.2),Sky,8158.0,453,22
1 (1.2.2.2),Water bodies,4859.0,259,22
1 (1.2.2.2),Flowers / ornamental grass,133.2,8,4
1 (2.2),Tall trees,411348.1,23324,48
1 (2.2),Aquatic plants,148036.5,7751,48
1 (2.2),Shrubs,102402.8,5439,46
1 (2.2),Herbaceous plants,69648.4,3949,48
1 (2.2),Roads,68361.3,3512,47
1 (2.2),Other elements,37409.4,2126,44
1 (2.2),Sky,32421.1,1832,40
1 (2.2),Mountains,23680.4,1347,34
1 (2.2),Landscape stones,10168.3,588,39
1 (2.2),Buildings,1581.3999999999999,95,14
10_1,Tall trees,271820.4,15461,48
10_1,Buildings,214932.7,12118,48
10_1,Paved surfaces / plazas,187854.5,9137,48
10_1,Landscape seating / recreational facilities,126752.2,7040,48
10_1,Herbaceous plants,40259.5,2090,47
10_1,Shrubs,26693.8,1463,46
10_1,Artificial water features,12276.1,663,38
10_1,Sky,4516.8,253,17
10_1,Other elements,4095.5,222,34
10_1,Flowers / ornamental grass,1299.6,56,12
10_2,Buildings,355081.5,19863,48
10_2,Sculptures / landmarks,141646.0,8175,47
10_2,Tall trees,129616.1,7268,48
10_2,Paved surfaces / plazas,128011.8,5988,48
10_2,Shrubs,53593.0,2857,48
10_2,Sky,29687.7,1620,26
10_2,Landscape seating / recreational facilities,25055.4,1435,42
10_2,Herbaceous plants,8584.7,456,34
10_2,Other elements,5074.4,282,26
10_2,Artificial water features,216.6,13,4
11 (1.2),Tall trees,416707.3,23554,48
11 (1.2),Roads,167607.0,8340,48
11 (1.2),Landscape walls,106802.5,6075,48
11 (1.2),Shrubs,58711.6,3198,48
11 (1.2),Parking lots / vehicles,58485.3,3330,46
11 (1.2),Buildings,37769.9,2203,45
11 (1.2),Flowers / ornamental grass,21666.3,1065,45
11 (1.2),Other elements,18486.6,1016,47
11 (1.2),Sky,12053.2,685,33
11 (1.2),Herbaceous plants,9866.7,559,39
11 (1.2),Landscape seating / recreational facilities,3162.5,175,31
11 (1.2),Paved surfaces / plazas,1564.0,85,24
11 (2.),Buildings,388162.7,22163,48
11 (2.),Herbaceous plants,233414.2,11933,48
11 (2.),Tall trees,172079.8,9886,47
11 (2.),Sky,52007.9,2907,39
11 (2.),Mountains,28128.9,1649,42
11 (2.),Roads,16499.4,868,45
11 (2.),Landscape walls,12725.1,741,34
11 (2.),Parking lots / vehicles,849.2,51,14
11 (2.),Landscape seating / recreational facilities,684.0,39,17
11 (2.),Shrubs,498.8,30,7
12 (1.2),Buildings,241977.0,13811,48
12 (1.2),Tall trees,226720.2,12778,48
12 (1.2),Flowers / ornamental grass,126290.5,6490,48
12 (1.2),Herbaceous plants,114306.8,6131,48
12 (1.2),Other elements,90768.7,5125,45
12 (1.2),Sky,58614.799999999996,3313,40
12 (1.2),Landscape seating / recreational facilities,33323.2,1831,48
12 (1.2),Roads,18931.6,1079,43
12 (1.2),Paved surfaces / plazas,7950.5,448,34
12 (1.2),Landscape walls,2728.5,161,23
12 (2.2),Tall trees,307844.3,17300,48
12 (2.2),Buildings,130967.2,7480,47
12 (2.2),Other elements,127533.09999999999,6993,47
12 (2.2),Herbaceous plants,112527.9,5999,48
12 (2.2),Mountains,70173.7,4076,46
12 (2.2),Flowers / ornamental grass,65033.8,3621,48
12 (2.2),Roads,51836.6,2357,46
12 (2.2),Sky,37409.4,2166,23
12 (2.2),Landscape seating / recreational facilities,12726.3,647,46
12 (2.2),Landscape walls,1767.8,102,9
13_1,Economic crops,477462.7,26226,48
