Feature,PC1,PC2,PC3,PC4,PC5
Aquatic plants_mean,0.1835,0.0995,0.0068,-0.0947,0.0318
Artificial water features_mean,0.1878,0.0892,0.0333,-0.0851,0.0139
Buildings_mean,-0.1941,0.1222,-0.0771,0.0374,-0.0592
Economic crops_mean,0.1649,-0.036,-0.0576,0.1527,0.2079
Flower beds / trellises_mean,0.0424,0.2495,0.1726,0.0999,0.1261
Flowers / ornamental grass_mean,0.1979,0.0558,-0.0253,-0.1309,-0.1
Herbaceous plants_mean,0.2034,-0.1351,0.0321,-0.0447,-0.0239
Landscape bridges_mean,-0.012,0.2231,0.0181,-0.1939,0.3056
Landscape seating / recreational facilities_mean,0.1471,0.2095,-0.09,-0.0176,0.089
Landscape stones_mean,0.0931,0.1098,-0.3419,-0.1388,0.2703
Landscape walls_mean,0.0101,0.1533,-0.223,0.3381,0.0122
Mountains_mean,-0.1983,-0.0053,0.0091,-0.1197,0.1716
Other elements_mean,0.157,0.0472,-0.1958,0.0831,-0.1048
Parking lots / vehicles_mean,0.1185,0.2041,0.1151,-0.0855,-0.3137
Paved surfaces / plazas_mean,0.1589,-0.2352,-0.0168,-0.0429,0.0673
Pavilions / corridors_mean,0.0475,0.1433,0.3784,0.0161,0.1311
Roads_mean,0.1748,-0.1585,0.0334,0.0214,0.0512
Sculptures / landmarks_mean,0.0572,0.2203,-0.0688,0.2549,-0.0466
Shrubs_mean,0.2081,-0.0043,-0.046,-0.014,-0.057
Sky_mean,-0.1737,-0.1195,-0.007,-0.1294,0.0937
Tall trees_mean,-0.1972,0.1153,0.0151,0.1029,-0.083
Water bodies_mean,0.2058,0.023,0.1289,-0.0406,0.0116
Aquatic plants_std,0.1862,0.0462,0.0536,0.0023,0.0797
Artificial water features_std,0.1745,0.0974,0.0344,-0.0466,0.0158
Buildings_std,-0.1739,0.1238,0.041,0.1691,0.0208
Economic crops_std,0.162,-0.0436,-0.0287,0.1625,0.2009
Flower beds / trellises_std,0.031,0.2024,0.2322,0.1167,0.1314
Flowers / ornamental grass_std,0.1826,0.0264,0.0653,-0.0156,-0.0274
Herbaceous plants_std,0.1836,-0.1551,0.0862,0.0254,-0.0186
Landscape bridges_std,-0.0101,0.2172,0.0313,-0.2034,0.3344
Landscape seating / recreational facilities_std,0.1339,0.1907,-0.084,0.0502,0.1099
Landscape stones_std,0.0912,0.0707,-0.3458,-0.1149,0.2892
Landscape walls_std,-0.0148,0.1027,-0.1272,0.4029,0.0936
Mountains_std,-0.1815,-0.0105,0.0675,-0.0956,0.2166
Other elements_std,0.1365,-0.1031,-0.1379,0.1776,0.0488
Parking lots / vehicles_std,0.126,0.1708,0.1712,-0.1173,-0.3017
Paved surfaces / plazas_std,0.1388,-0.2384,-0.0293,-0.0291,0.0885
Pavilions / corridors_std,0.049,0.1279,0.3745,0.0029,0.1583
Roads_std,0.1716,-0.1433,0.0731,0.0653,0.101
Sculptures / landmarks_std,0.0425,0.2179,-0.012,0.2656,-0.0754
Shrubs_std,0.1799,-0.1312,-0.0501,0.08,-0.0414
Sky_std,-0.1583,-0.1038,0.0159,-0.1392,0.1422
Tall trees_std,-0.1582,-0.0257,0.1322,0.2774,0.1046
Water bodies_std,0.1945,-0.007,0.1553,0.0032,0.0429
AvgDwell_ms,-0.0094,0.0701,0.1377,-0.1103,0.0482
AvgAOIsAttended,-0.0333,0.224,-0.2234,-0.2173,-0.1843
AvgEntropy,0.0344,0.2701,-0.1855,-0.2233,-0.1565
